coin;price;changes per hour;changes per day;changes per week;market capitalization
BITCOIN;₽2,7...25.47;-0.11%;-0.48%;-2.50%;₽52.54T
ETHEREUM;₽170,896.81;-0.09%;-0.79%;-3.43%;₽20.54T
TETHERUSDT;₽90.53;-0.18%;-0.49%;-1.05%;₽7.58T
XRP;₽69.40;-0.32%;-1.68%;+4.82%;₽3.65T
BNB;₽21,959.67;-0.12%;-1.32%;-4.32%;₽3.38T
USDCOIN;₽90.52;-0.17%;-0.51%;-1.03%;₽2.43T
CARDANO;₽28.29;-0.06%;-1.10%;-6.62%;₽989.45B
SOLANA;₽2,324.23;+0.01%;+0.81%;-9.37%;₽938.49B
DOGECOIN;₽6.49;+0.04%;-3.17%;-1.58%;₽910.9B
TRON;₽7.72;-0.75%;+4.37%;+4.33%;₽691.76B
POLYGON;₽69.18;+0.00%;-0.88%;-6.83%;₽644.86B
LITECOIN;₽8,471.99;-0.12%;+0.84%;-2.09%;₽622B
POLKADOT;₽485.13;-0.20%;-2.94%;-3.33%;₽595.34B
TONCOIN;₽131.94;-0.23%;+0.00%;+7.01%;₽452.86B
WRAPPEDBITCOIN;₽2,7...14.55;-0.18%;-0.42%;-2.51%;₽435.99B
AVALANCHE;₽1,246.84;-0.07%;-1.88%;-10.31%;₽431.17B
BITCOINCASH;₽22,108.26;-0.15%;-0.90%;-3.51%;₽429.86B
SHIBAINU;₽0.0007067;+0.05%;-0.87%;-6.83%;₽416.16B
DAI;₽90.47;-0.19%;-0.51%;-1.04%;₽416B
STELLAR;₽14.80;-0.32%;+3.42%;+22.06%;₽402.81B
CHAINLINK;₽724.26;-0.13%;-2.43%;+13.35%;₽389.01B
BINANCEUSD;₽90.51;-0.20%;-0.50%;-1.04%;₽348.62B
UNUSSEDLEO;₽371.24;-0.27%;+2.21%;+1.62%;₽348.17B
UNISWAP;₽556.68;-0.12%;-1.32%;+3.10%;₽321.32B
COSMOS;₽851.87;+0.20%;-0.74%;-4.48%;₽295.41B
MONERO;₽14,730.80;-0.27%;-0.32%;-1.47%;₽269.7B
TRUEUSD;₽90.47;-0.19%;-0.51%;-1.05%;₽253.97B
ETHEREUMCLASSIC;₽1,695.42;-0.07%;-0.91%;-3.94%;₽240.89B
OKB;₽3,898.70;-0.08%;-0.93%;-2.37%;₽234B
FILECOIN;₽406.59;-0.58%;-1.13%;+0.19%;₽177.82B
INTERNETCOMPUTER;₽370.31;-0.24%;-0.74%;-3.08%;₽162.62B
LIDODAO;₽183.98;-0.03%;-1.09%;-15.37%;₽161.65B
HEDERA;₽4.93;-0.23%;-3.54%;+3.60%;₽159.71B
APTOS;₽694.97;+0.02%;+1.37%;+1.76%;₽150.1B
ARBITRUM;₽112.49;+0.10%;-1.08%;-4.61%;₽143.43B
CRONOS;₽5.50;-0.14%;-0.01%;-0.69%;₽139.04B
VECHAIN;₽1.76;-0.37%;+0.42%;-2.64%;₽128.18B
NEARPROTOCOL;₽132.40;-0.12%;-3.09%;-3.19%;₽124.42B
QUANT;₽9,313.99;+0.23%;+0.18%;-0.11%;₽112.45B
MAKER;₽99,660.78;-0.72%;-5.74%;+24.49%;₽97.55B
THEGRAPH;₽10.57;-0.10%;-2.67%;-3.89%;₽96.24B
BITDAO;₽52.06;-0.74%;-2.05%;+9.37%;₽95.97B
AAVE;₽6,616.21;-0.02%;-2.05%;-9.79%;₽95.8B
OPTIMISM;₽140.27;+0.70%;+1.39%;+4.01%;₽95.24B
ALGORAND;₽10.53;+0.20%;+0.83%;+0.94%;₽82.03B
STACKS;₽57.05;+0.01%;+0.46%;-3.54%;₽79.64B
MULTIVERSX;₽3,052.76;-0.10%;-0.46%;-9.37%;₽78.45B
EOS;₽71.51;-0.19%;+0.78%;+0.43%;₽78.43B
THESANDBOX;₽40.41;-0.16%;-0.43%;-2.64%;₽78.2B
THETANETWORK;₽73.01;+0.00%;-2.08%;-0.49%;₽73.01B
IMMUTABLE;₽67.18;-0.21%;-3.31%;-2.13%;₽72.68B
TEZOS;₽76.83;+0.10%;-0.42%;-5.43%;₽72.69B
SYNTHETIX;₽270.53;-0.78%;-4.00%;+7.20%;₽72.37B
AXIEINFINITY;₽584.59;-0.22%;-0.68%;+0.22%;₽69.93B
APECOIN;₽189.71;-0.40%;-3.18%;+0.62%;₽69.93B
DECENTRALAND;₽36.50;-0.06%;-0.23%;-4.56%;₽69.11B
XDCNETWORK;₽4.75;+2.56%;+26.03%;+58.60%;₽65.83B
BITCOINSV;₽3,413.27;-0.19%;-1.24%;+3.93%;₽65.76B
USDD;₽90.37;-0.23%;-0.45%;-1.09%;₽65.71B
FANTOM;₽23.24;-0.08%;-1.22%;-9.03%;₽65.06B
INJECTIVE;₽797.55;-0.50%;-4.66%;-4.41%;₽63.86B
RENDER;₽168.88;+0.07%;-2.74%;-9.08%;₽62.42B
CURVEDAOTOKEN;₽69.00;-0.21%;-3.57%;-8.34%;₽60.17B
NEO;₽848.61;+0.04%;+1.54%;-1.01%;₽59.86B
FLOW;₽56.85;-0.06%;-0.65%;+1.65%;₽58.9B
ECASH;₽0.002827;-0.17%;-0.74%;+4.20%;₽54.98B
ROCKETPOOL;₽2,773.37;-0.62%;-1.20%;-17.61%;₽54.21B
PEPE;₽0.000138;+0.25%;+0.91%;-9.38%;₽54.05B
GALA;₽2.41;-0.33%;-1.24%;+3.35%;₽53.52B
KAVA;₽83.13;+0.01%;+1.00%;-2.41%;₽53.58B
KUCOINTOKEN;₽541.51;+0.36%;-1.26%;-3.84%;₽52.41B
CONFLUX;₽16.65;-0.05%;-0.49%;-5.19%;₽51.16B
CHILIZ;₽7.14;-0.14%;-1.45%;-4.22%;₽50.75B
COMPOUND;₽6,437.44;-0.53%;-2.10%;-5.76%;₽49.96B
PAXDOLLAR;₽90.12;-0.15%;-0.74%;-0.87%;₽49.53B
KLAYTN;₽15.22;-0.02%;-1.33%;-3.79%;₽47.82B
IOTA;₽16.84;-0.28%;+0.35%;-4.77%;₽46.81B
TERRACLASSIC;₽0.008044;+0.45%;+0.87%;+2.43%;₽46.74B
ZCASH;₽2,858.44;+0.00%;+0.18%;-1.09%;₽46.67B
TETHERGOLD;₽177,580.03;-0.28%;-0.61%;-0.67%;₽43.78B
PAXGOLD;₽174,468.02;-0.13%;-0.46%;-1.05%;₽43.61B
