coin;price;changes per hour;changes per day;changes per week;market capitalization
Bitcoin;₽2,7...96.81;-0.11%;-0.53%;-0.54%;₽53.15T
Ethereum;₽174,325.76;-0.07%;-0.51%;+2.48%;₽20.95T
Tether;₽90.29;-0.20%;-0.52%;-1.02%;₽7.55T
XRP;₽68.20;+1.37%;+4.98%;+59.32%;₽3.58T
BNB;₽22,088.68;-0.01%;-2.85%;+3.35%;₽3.44T
USD Coin;₽90.24;-0.20%;-0.54%;-1.06%;₽2.46T
Cardano;₽28.69;+0.43%;-3.27%;+10.47%;₽1T
Solana;₽2,483.05;+0.10%;-0.44%;+28.41%;₽999.88B
Dogecoin;₽6.32;+0.39%;-2.89%;+5.66%;₽885.91B
Polygon;₽70.41;+0.14%;-2.95%;+11.93%;₽656.19B
TRX;$0.08;;;;
LTC;$94.31;;;;
DOT;$5.36;;;;
AVAX;$14.41;;;;
BCH;$252.39;;;;
WBTC;$30302.49;;;;
TON;$1.36;;;;
SHIB;$0.00;;;;
DAI;$1.00;;;;
BUSD;$1.00;;;;
LEO;$3.97;;;;
XLM;$0.13;;;;
LINK;$6.67;;;;
UNI;$5.73;;;;
ATOM;$9.49;;;;
XMR;$165.75;;;;
TUSD;$1.00;;;;
ETC;$18.92;;;;
OKB;$44.31;;;;
LDO;$2.21;;;;
FIL;$4.37;;;;
ICP;$4.11;;;;
HBAR;$0.05;;;;
ARB;$1.28;;;;
APT;$7.47;;;;
CRO;$0.06;;;;
VET;$0.02;;;;
NEAR;$1.47;;;;
QNT;$100.81;;;;
AAVE;$77.54;;;;
GRT;$0.12;;;;
BIT;$0.54;;;;
OP;$1.49;;;;
EGLD;$37.32;;;;
MKR;$980.41;;;;
ALGO;$0.12;;;;
STX;$0.63;;;;
SAND;$0.45;;;;
EOS;$0.76;;;;
XTZ;$0.87;;;;
IMX;$0.75;;;;
MANA;$0.41;;;;
THETA;$0.78;;;;
AXS;$6.25;;;;
FTM;$0.27;;;;
USDD;$1.00;;;;
APE;$1.99;;;;
RNDR;$1.96;;;;
INJ;$8.94;;;;
CRV;$0.82;;;;
RPL;$35.98;;;;
SNX;$2.62;;;;
BSV;$36.17;;;;
NEO;$9.18;;;;
FLOW;$0.61;;;;
PEPE;$0.00;;;;
COMP;$77.27;;;;
KCS;$6.16;;;;
KAVA;$0.93;;;;
CFX;$0.19;;;;
XEC;$0.00;;;;
CHZ;$0.08;;;;
USDP;$1.00;;;;
GUSD;$0.99;;;;
GALA;$0.03;;;;
KLAY;$0.17;;;;
LUNC;$0.00;;;;
MIOTA;$0.19;;;;
ZEC;$31.15;;;;
GMX;$56.61;;;;
PAXG;$1926.49;;;;
XAUT;$1955.21;;;;
FXS;$6.40;;;;
BTT;$0.00;;;;
HT;$2.77;;;;
XDC;$0.03;;;;
SUI;$0.68;;;;
MINA;$0.47;;;;
GT;$4.34;;;;
1INCH;$0.44;;;;
CSPR;$0.04;;;;
WOO;$0.23;;;;
DASH;$33.02;;;;
NEXO;$0.62;;;;
TWT;$0.83;;;;
ZIL;$0.02;;;;
RUNE;$1.02;;;;
DYDX;$2.05;;;;
CAKE;$1.51;;;;
CVX;$3.99;;;;
